,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
153,7753,James Justin,23,2070,2,1.517483089,1,2.059136271,9,19,4,0,D,Leicester,2,1.517483089,7.665663853,5.505036119
154,7991,Aaron Connolly,16,755,2,4.412463581,1,0.149897031,22,5,0,0,F M S,Brighton,2,4.412463581,4.72093132,0.191225428
155,8722,Ezgjan Alioski,36,2475,2,1.746611039,3,3.33275333,25,28,7,0,D M S,Leeds,2,1.746611039,13.47833998,9.686265881
156,8992,Hakim Ziyech,23,1182,2,1.98731387,3,4.478449192,35,34,3,0,F M S,Chelsea,2,1.98731387,7.660671562,3.691924286
157,9040,Conor Gallagher,30,2529,2,1.542326158,2,1.418287797,29,21,11,0,M S,West Bromwich Albion,2,1.542326158,5.059539877,3.12478549
158,9205,Jayden Bogle,16,1109,2,1.915019624,0,0.208553841,17,4,2,0,D M S,Sheffield United,2,1.915019624,2.668701135,1.365645308
159,76,Fabian Schär,18,1252,1,1.460576858,0,0,12,0,4,1,D S,Newcastle United,0,0.699408021,0.955122676,0.873560842
160,204,Granit Xhaka,30,2447,1,0.711672674,2,1.334160782,18,14,7,1,D M S,Arsenal,1,0.711672674,13.53736703,12.52164356
161,229,Thiago Alcántara,24,1865,1,1.211306193,0,2.554921616,22,30,4,0,M S,Liverpool,1,1.211306193,11.15254943,9.468282035
162,332,Joel Matip,10,701,1,0.784475379,2,1.18027547,5,3,2,0,D S,Liverpool,1,0.784475379,4.383128449,4.383128449
163,486,Adam Lallana,29,1528,1,1.614305904,1,2.628757566,22,25,0,0,F M S,Brighton,1,1.614305904,9.719970118,5.874304872
164,492,Héctor Bellerín,25,2098,1,0.860229813,2,2.171512437,15,21,8,0,D S,Arsenal,1,0.860229813,8.059892222,6.266995819
165,496,Mohamed Elneny,23,1540,1,0.475615798,0,0.256941723,9,4,3,0,M S,Arsenal,1,0.475615798,5.195760984,4.65116825
166,500,Alex Iwobi,29,1505,1,0.843632018,2,2.155348901,15,16,0,0,D F M S,Everton,1,0.843632018,7.21891633,4.475584606
167,512,Scott Dann,15,1350,1,0.548288748,0,0.017612835,4,1,1,0,D,Crystal Palace,1,0.548288748,1.185210365,1.167597528
168,532,Cheikhou Kouyaté,36,3126,1,0.823928103,0,0.830787105,7,8,4,0,D M S,Crystal Palace,1,0.823928103,4.744332442,4.530508513
169,535,Manuel Lanzini,17,548,1,0.971056749,1,1.001792194,12,11,1,0,M S,West Ham,1,0.971056749,3.232661293,1.579504919
170,537,Andy Carroll,18,369,1,0.603316849,0,0.063019833,13,2,1,0,F S,Newcastle United,1,0.603316849,0.989014842,0.542128044
171,579,Nathan Aké,10,802,1,0.505318072,0,0.017229334,3,1,4,0,D S,Manchester City,1,0.505318072,4.211258717,4.194029383
172,605,Jordan Henderson,21,1710,1,1.135797573,1,1.483708568,14,14,0,0,D M S,Liverpool,1,1.135797573,11.4943608,10.46134793
173,638,Kyle Walker,23,1854,1,0.204404906,1,0.499786234,10,8,1,0,D S,Manchester City,1,0.204404906,9.922638569,9.524867132
174,639,Toby Alderweireld,25,2243,1,0.613819364,0,0.968030091,10,8,2,0,D,Tottenham,1,0.613819364,5.900500618,5.85721869
175,644,Erik Lamela,23,683,1,1.289412983,0,0.805831972,21,8,4,1,F M S,Tottenham,1,1.289412983,4.192472446,2.828797733
176,672,Jordan Ayew,33,2097,1,2.581982689,3,0.822346156,26,13,4,0,F M S,Crystal Palace,1,2.581982689,5.268271958,2.650574216
177,681,César Azpilicueta,26,2189,1,0.503005005,2,2.575494335,11,27,5,1,D S,Chelsea,1,0.503005005,13.98924253,12.33882074
178,688,Ruben Loftus-Cheek,31,1988,1,3.330008732,0,1.244577933,35,17,3,0,F M S,"Chelsea,Fulham",1,3.330008732,7.614803409,3.747227056
179,699,Gary Cahill,20,1800,1,0.736513684,1,0.621741116,11,8,3,0,D,Crystal Palace,1,0.736513684,2.273189371,2.02311668
180,700,Willian,25,1413,1,1.834947636,5,3.591709714,20,32,0,0,F M S,Arsenal,1,1.834947636,7.110169102,3.815574728
181,743,Dwight Gayle,18,483,1,2.929797634,1,0.275555471,16,6,0,0,F S,Newcastle United,1,2.929797634,3.037841819,0.514048237
182,753,Marc Albrighton,31,1731,1,1.246730871,5,4.036376454,21,38,2,0,D M S,Leicester,1,1.246730871,8.017677169,5.142710544
183,759,Daniel Amartey,12,714,1,0.542172275,0,0,3,0,2,0,D S,Leicester,1,0.542172275,2.531733267,2.456876211
184,769,Jonjo Shelvey,30,2617,1,2.452838399,3,2.625524726,42,37,7,0,M S,Newcastle United,1,2.452838399,9.463527981,7.525889337
